Scottish,Watt,Noah,10/11/1958,NoahWatt@armyspy.com,09943 19 34 21
Croatian,Ivanec,Zlatko,10/30/1977,ZlatkoIvanec@superrito.com,9738 0442
Japanese (Anglicized),Susui,Hazuki,11/28/1951,HazukiSusui@rhyta.com,465 0191
Russian (Cyrillic),Фокина,Роксана,3/1/1992,Corguive@einrot.com,22 636762
Japanese (Anglicized),Imamura,Shiro,12/22/1964,ShiroImamura@superrito.com,02692 77 05 04
Italian,Padovesi,Nazzareno,11/21/1947,NazzarenoPadovesi@gustr.com,458 2712
Arabic,Kouri,Atyaf,5/14/1947,AtyafAblahKouri@einrot.com,0474 97 18 50
Danish,Andersen,Laurits,4/1/1941,LauritsAAndersen@rhyta.com,333 8111
Persian,غلامی,تینا,7/23/1944,TanaGhelama@armyspy.com,519-993-4005
Hungarian,Szôllösi,Dániel,9/24/1995,SzollosiDaniel@jourrapide.com,60-98-68-86
Chinese (Traditional),邢,丹羿,12/24/1961,GengDanYi@rhyta.com,0202 66 17 34
Hobbit,Grubb,Gilly,10/8/1975,GillyGrubb@superrito.com,051-949-690
French,Michel,Cheney,5/30/1936,CheneyMichel@rhyta.com,0485 55 07 49
Klingon,K'mpok,Ra'Ta,2/5/1939,RaTaKmpok@cuvox.de,039888 37 55
Brazil,Lima,Samuel,1/22/1950,SamuelSouzaLima@superrito.com,(61) 4425-6425
Russian (Cyrillic),Самойлов,Юрий,1/31/1972,Whatumbigh@dayrep.com,924 66 476
Chinese,Yao,Xiu Juan,6/25/1987,XiuJuanYao@fleckens.hu,88 259 66 18
Swedish,Ivarsson,Linus,1/2/1959,LinusIvarsson@dayrep.com,917-570-7931
Chinese,Hu,Long,5/12/1975,LongHu@einrot.com,445 0135
Australian,Shea,Caleb,1/3/1935,CalebShea@teleworm.us,0681 630 16 36
Slovenian,Vareško,Hajdin,6/8/1960,HajdinVaresko@gustr.com,61 46 68
Polish,Wojciechowski,Włodek,6/4/1937,WlodekWojciechowski@cuvox.de,042 209 2736
Japanese (Anglicized),Fukushima,Kozo,6/15/1977,KozoFukushima@gustr.com,602 336 470
Hispanic,Munguia,Flavio,8/29/1952,FlavioMunguiaOrtiz@rhyta.com,04.71.41.90.74
Japanese,露口,大輝,3/21/1985,Theromstaks@teleworm.us,72 609 137
French,Laux,Fifi,2/8/1974,FifiLaux@rhyta.com,73 952 401
Thai,สายน้ำผึ้ง,คฐาวุฒน์,4/10/1957,bertje@pampus.nl,(98) 4134-4146
Italian,Fallaci,Maria Luisa,4/13/1941,MariaLuisaFallaci@cuvox.de,0388 5555694
Finnish,Salonen,Aune,2/1/1982,AuneSalonen@gustr.com,0388 6224677
England/Wales,Sanderson,Toby,11/13/1973,TobySanderson@jourrapide.com,085 775 1491
French,Rocheleau,Zoé,7/13/1997,ZoeRocheleau@fleckens.hu,0699 145 67 04
Croatian,Martinović,Radomir,4/22/1947,RadomirMartinovic@teleworm.us,050 214 9824
Ninja,Gebebe,Chikushikuarika,5/19/1947,Chikushikuarika@rhyta.com,95 646911
Dutch,Gravemaker,Quang,8/23/1939,QuangGravemaker@gustr.com,046 845 9656
Italian,Baresi,Corrado,12/12/1964,CorradoBaresi@rhyta.com,040-798-625
Finnish,Pihlava,Kaari,11/5/1944,KaariPihlava@gustr.com,0499 28 23 19
Greenland,Zeeb,Tobias,9/18/1966,TobiasZeeb@jourrapide.com,24 826222
England/Wales,Roberts,Maisie,3/24/1945,MaisieRoberts@superrito.com,9649 0788
Italian,Pinto,Nestore,12/22/1947,NestorePinto@teleworm.us,450 9016
Italian,Rizzo,Dario,5/11/1966,DarioRizzo@superrito.com,9515 6181
Chinese (Traditional),江,莊周,1/11/1969,JiangZhuangZhou@dayrep.com,(95) 434-861
Slovenian,Presl,Florjan,5/29/1941,FlorjanPresl@fleckens.hu,88 103 96 25
Italian,Russo,Eliana,3/17/1980,ElianaRusso@armyspy.com,082 149 8911
Croatian,Varga,Zlata,7/24/1956,ZlataVarga@cuvox.de,760-869-5719
German,Kohler,Jessika,8/11/1950,JessikaKohler@einrot.com,06569 14 73 92
Greenland,Kristiansen,Søren,10/19/1962,SorenKristiansen@cuvox.de,0976-3512678
Igbo,Madukaego,Osonduagwuike,7/18/1963,OsonduagwuikeMadukaego@teleworm.us,87 78 20
Italian,Milani,Celeste,2/12/1966,CelesteMilani@armyspy.com,0498 19 28 75
French,Roussel,Tyson,4/8/1998,TysonRoussel@dayrep.com,78 847 853
Hispanic,Sauceda,Wayca,9/7/1981,WaycaSaucedaZelaya@gustr.com,21 225 116 0095
